REPTree			
StdDev Positive Recall: 	0,0471		StdDev Positive Recall: 	0,0456		
Positive Precision: 	0,7834		Positive Precision: 	0,7848		
StdDev Positive Precision: 	0,0367		StdDev Positive Precision: 	0,0381		
Positive F-Measure: 	0,7405		Positive F-Measure: 	0,7409		
StdDev Positive F-Measure: 	0,0344		StdDev Positive F-Measure: 	0,0354		
Micro F-Measure: 	0,7148		Micro F-Measure: 	0,721		
StdDev Micro F-Measure: 	0,0263		StdDev Micro F-Measure: 	0,0245		
Macro F-Measure: 	0,716		Macro F-Measure: 	0,7229		
StdDev Macro F-Measure: 	0,0263		StdDev Macro F-Measure: 	0,0241		
Micro PosNeg F-Measure: 	0,7321		Micro PosNeg F-Measure: 	0,7381		
StdDev Micro PosNeg F-Measure: 	0,0271		StdDev Micro PosNeg F-Measure: 	0,026		
Macro PosNeg F-Measure: 	0,7322		Macro PosNeg F-Measure: 	0,7391		
StdDev Macro PosNeg F-Measure: 	0,0266		StdDev Macro PosNeg F-Measure: 	0,0255		
OTHER PosNeg F-Measure: 	0,7318		OTHER PosNeg F-Measure: 	0,7382		
StdDev OTHER PosNeg F-Measure: 	0,0269		StdDev OTHER PosNeg F-Measure: 	0,026		
Average Accuracy: 	0,8099		Average Accuracy: 	0,8144		
StdDev Average Accuracy: 	0,0174		StdDev Average Accuracy: 	0,0168		
Negative Average Accuracy: 	0,8274		Negative Average Accuracy: 	0,8335		
StdDev Negative Average Accuracy: 	0,0185		StdDev Negative Average Accuracy: 	0,0192		
Neutral Average Accuracy: 	0,7662		Neutral Average Accuracy: 	0,7727		
StdDev Neutral Average Accuracy: 	0,0251		StdDev Neutral Average Accuracy: 	0,0234		
Positive Average Accuracy: 	0,836		Positive Average Accuracy: 	0,8364		
StdDev Positive Average Accuracy: 	0,0202		StdDev Positive Average Accuracy: 	0,0211		
Error Rate: 	0,5914		Error Rate: 	0,5916		
StdDev Error Rate: 	0,0122		StdDev Error Rate: 	0,0124		
Negative Error Rate: 	0,1726		Negative Error Rate: 	0,1665		
StdDev Negative Error Rate: 	0,0185		StdDev Negative Error Rate: 	0,0192		
Neutral Error Rate: 	0,7662		Neutral Error Rate: 	0,7727		
StdDev Neutral Error Rate: 	0,0251		StdDev Neutral Error Rate: 	0,0234		
Positive Error Rate: 	0,836		Positive Error Rate: 	0,8364		
StdDev Positive Error Rate: 	0,0202		StdDev Positive Error Rate: 	0,0211		

