"doc.msg: Descending",Count
came,"21,147"
week,"21,122"
kinda,"21,121"
comme,"21,088"
against,"21,086"
happened,"21,049"
aaa,"20,926"
tem,"20,923"
caps,"20,921"
players,"20,894"
send,"20,883"
mode,"20,873"
skin,"20,815"
room,"20,797"
voice,"20,791"
boss,"20,778"
ready,"20,726"
19,"20,720"
internet,"20,704"
"用","20,689"
having,"20,654"
"из","20,583"
cs,"20,554"
"能","20,545"
"тут","20,527"
such,"20,493"
league,"20,468"
"吧","20,458"
btw,"20,444"
dark,"20,400"
car,"20,382"
ele,"20,379"
currently,"20,344"
food,"20,306"
xdd,"20,293"
late,"20,242"
aus,"20,218"
"か","20,205"
eee,"20,203"
may,"20,203"
hour,"20,197"
fan,"20,196"
online,"20,191"
j,"20,165"
given,"20,144"
"啦","20,067"
home,"20,054"
ive,"19,919"
"て","19,862"
tomorrow,"19,851"
gut,"19,830"
"啊","19,810"
screen,"19,771"
"вот","19,746"
oooooooooooo,"19,744"
nope,"19,740"
aaaae,"19,727"
yourself,"19,711"
omgscoots,"19,706"
"た","19,695"
aae,"19,688"
isnt,"19,651"
kappaross,"19,651"
water,"19,636"
immer,"19,612"
dog,"19,575"
"от","19,571"
dad,"19,567"
each,"19,558"
jest,"19,526"
oooooooooo,"19,524"
phone,"19,506"
mine,"19,489"
riot,"19,486"
songlist,"19,453"
"i'd","19,433"
number,"19,421"
22,"19,386"
als,"19,377"
songs,"19,346"
links,"19,339"
"где","19,326"
error,"19,308"
"得","19,254"
"幹","19,253"
spamming,"19,241"
"let's","19,198"
"ん","19,192"
brokeback,"19,148"
mad,"19,094"
"の","19,060"
"goo.gl","18,983"
eeeeo,"18,972"
"não","18,960"
bed,"18,948"
save,"18,927"
wants,"18,915"
mic,"18,844"
300,"18,818"
second,"18,817"
forget,"18,798"
wat,"18,772"
yay,"18,723"
post,"18,708"
fake,"18,662"
whisper,"18,651"
tonight,"18,647"
"死","18,637"
lmfao,"18,595"
random,"18,526"
"出","18,524"
"被","18,521"
bruh,"18,504"
di,"18,467"
"真","18,450"
"haven't","18,434"
emotes,"18,391"
mom,"18,371"
mid,"18,367"
cuz,"18,329"
quote,"18,325"
white,"18,297"
different,"18,296"
catch,"18,271"
trop,"18,271"
"для","18,238"
double,"18,232"
